old,elderly
bank,money
worry,concern
material,stuff
cucumber,vegetable
burial,dig
size,small medium large
laser,light beam
fresh,_____ out the oven
garage,car storage
definite,not indefinite
suitcase,vacation
spin,turn
insert,push
reach,extend
pepper,salt and ______
objective,goal
roof,raise the ___
angel,from heaven
graze,cows do this
migration,moving
tease,joking
grandfather,old man
manufacture,factory
eye,vision
produce,create
glare,look at
addicted,dependant
mystery,unsolved
proud,pride
script,writing
royalty,king
spring,season
trivial,small
window,glass
transaction,payment
policy,regulation
sniff,smelling
franchise,chains
ribbon,decoration
crowd,group
establish,set up
respect,admire
balance,even
beginning,start
fuss,commotion
diamond,carbon
mutter,whisper
attention,focused
spy,espionage
